year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8dm711170,ca,44,22021,black,black,nissan infiniti lt,23000,22000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae9du436426,ca,2,34136,black,beige,enterprise vehicle exchange / tra / rental / tulsa,9700,8100,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7dm710348,ca,4,28668,gray,—,nissan infiniti lt,22400,23000,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Veloster,Turbo,Hatchback,automatic,kmhtc6ae4du168333,ca,36,10474,white,black,hyundai motor america/co car,15000,16100,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek3dm921383,ca,42,16338,gray,black,nissan infiniti lt,25700,25500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae6du446069,ca,,47010,silver,gray,hertz/tra,9275,3500,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra Coupe,SE,Elantra Coupe,automatic,kmhdh6ae8du000216,ca,43,11809,black,black,hyundai motor america/co car,14600,16100,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ekxdm920134,ca,42,15131,white,black,nissan infiniti lt,25900,26000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap4dm301420,ca,45,28053,black,black,nissan infiniti lt,22300,25000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0dm711499,ca,41,19587,blue,gray,nissan infiniti lt,23300,23500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1dm712628,ca,46,20246,gray,black,nissan infiniti lt,23200,24750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7dm300469,ca,41,19957,—,beige,nissan infiniti lt,23300,21750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6apxdm712658,ca,37,17337,white,black,nissan infiniti lt,23600,20250,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac5dh682009,ca,1,48510,white,tan,hertz/tra,11350,6500,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8dm716627,ca,36,23104,blue,black,nissan infiniti lt,22900,22750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap3dm713263,ca,46,5017,white,beige,nissan infiniti lt,25100,23500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5dm714785,ca,22,24054,gray,black,nissan infiniti lt,22900,18750,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac5dh743407,ca,37,36194,silver,gray,avis rac/san leandro,12150,13200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap9dm715258,ca,26,14264,white,tan,nissan infiniti lt,23900,20750,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,kmhec4a41da089739,ca,47,8595,silver,gray,hyundai motor america/co car,19100,18500,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Accent,GS,Hatchback,automatic,kmhct5ae4du128991,ca,46,9927,black,black,hyundai motor america/co car,10800,11300,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae0dh335103,ca,35,37759,beige,beige,avis corporation,11400,11800,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1dm300757,ca,43,17232,white,—,nissan infiniti lt,23600,24500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,FX,FX37,SUV,automatic,jn8cs1mw7dm174050,ca,41,40087,gray,black,infiniti financial services,27700,27250,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae4dh388614,ca,1,25960,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,12100,8800,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap6dm711376,ca,35,25132,white,black,nissan infiniti lt,22600,23500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7dm711712,ca,43,14887,gray,black,nissan infiniti lt,23900,24500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae3du421257,ca,36,41841,gray,beige,dtg operations inc,9425,9400,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Azera,Base,Sedan,automatic,kmhfg4jgxda201053,ca,45,34566,silver,black,hyundai motor america/co car,20000,20300,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Santa Fe,Sport 2.0T,SUV,automatic,5xyzwdla8dg094937,ca,5,10747,black,black,hyundai motor america/co car,19850,25800,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae0dh320214,ca,1,42798,gray,gray,fox rent a car tra,11100,7600,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Sonata Hybrid,Base,Sedan,automatic,kmhec4a46da091339,ca,44,16684,white,tan,hyundai motor america/co car,14900,14800,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap3dm711108,ca,19,18420,gray,beige,nissan infiniti lt,23700,18250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae2dh375957,ca,2,35824,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,11500,8700,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek2dm920760,ca,41,17090,black,black,nissan infiniti lt,25600,21500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek1dm921866,ca,26,12735,black,black,nissan infiniti lt,26300,22500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6apxdm714507,ca,43,24031,blue,black,nissan infiniti lt,22800,20500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap9dm711176,ca,37,29907,gray,black,nissan infiniti lt,21400,21000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2013,Hyundai,Tucson,GLS,SUV,automatic,km8ju3ac4du587297,ca,42,19109,red,black,hyundai motor america/co car,16450,17500,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0dm713933,ca,43,26396,gray,black,nissan infiniti lt,22500,23750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5dm715158,ca,21,23507,gray,black,nissan infiniti lt,23000,21000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac9dh760050,ca,38,34745,white,tan,avis corporation,12250,12700,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Elantra,Limited,Sedan,automatic,kmhdh4ae2du972303,ca,48,10564,black,gray,hyundai motor america/co car,15350,16500,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Azera,Base,Sedan,automatic,kmhfg4jg8da325905,ca,47,16132,black,black,hyundai motor america/co car,21200,21400,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap4dm302678,ca,47,16854,gray,gray,nissan infiniti lt,23600,25750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0dm712524,ca,44,19551,white,black,nissan infiniti lt,23300,25000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap3dm301392,ca,44,14486,brown,black,nissan infiniti lt,23900,22000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,kmhec4a49da092260,ca,42,17831,white,beige,hyundai motor america/co car,17750,18200,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5dm713782,ca,27,26792,gray,gray,nissan infiniti lt,22600,18000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Azera,Base,Sedan,automatic,kmhfh4jg7da330493,ca,43,19152,silver,beige,hyundai motor america/co car,21000,22200,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek5dm920106,ca,44,19492,white,black,nissan infiniti lt,25300,26250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac1dh680502,ca,34,50160,blue,gray,avis rac/san leandro,11500,11900,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6apxdm714605,ca,45,19368,white,black,nissan infiniti lt,23300,23000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Genesis,5.0 R-Spec,Sedan,automatic,kmhgc4dh8du258211,ca,39,12154,white,black,hyundai motor america/co car,27900,27500,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Equus,Ultimate,Sedan,automatic,kmhgh4jh3du064689,ca,43,11566,white,beige,hyundai buybacks,36800,25000,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7dm713816,ca,47,25635,white,beige,nissan infiniti lt,22600,26500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4acxdh752037,ca,37,39062,blue,gray,avis corporation,12000,12200,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae7dh327127,ca,2,29006,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,11900,8700,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae7du946909,ca,48,8559,red,beige,hyundai buybacks,13150,10800,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1dm712273,ca,39,26907,gray,black,nissan infiniti lt,22400,21750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5dm721977,ca,34,14765,gray,black,nissan infiniti lt,23900,23500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap3dm710802,ca,43,18673,gray,gray,nissan infiniti lt,23400,22000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae2du726688,ca,,37279,red,beige,enterprise vehicle exchange / tra / rental / tulsa,11400,4500,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2dm712489,ca,37,20707,white,black,nissan infiniti lt,23200,23500,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Veloster,Turbo,Hatchback,automatic,kmhtc6ae3du146243,ca,42,8467,black,black,hyundai motor america/co car,15050,16300,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap4dm715250,ca,44,16009,gray,black,nissan infiniti lt,23700,22750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0dm714516,ca,4,15260,silver,black,nissan infiniti lt,23800,24500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata Hybrid,Base,Sedan,automatic,kmhec4a4xda091084,ca,44,9539,silver,gray,hyundai motor america/co car,15450,14900,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6apxdm300417,ca,36,20976,black,black,nissan infiniti lt,23100,21000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap3dm714428,ca,46,22294,black,black,nissan infiniti lt,23000,24750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac3dh722331,ca,2,44135,gray,gray,fox rent a car tra,11650,8400,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek7dm921385,ca,4,30556,gray,black,nissan infiniti lt,23900,23500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2dm714792,ca,41,29731,white,beige,nissan infiniti lt,22100,21000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae4dh385955,ca,1,36957,red,beige,enterprise vehicle exchange / tra / rental / tulsa,11400,9400,Wed Dec 17 2014 15:05:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek3dm920766,ca,44,13321,white,gray,nissan infiniti lt,26100,26000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Azera,Base,Sedan,automatic,kmhfh4jg5da257916,ca,36,6552,black,black,hyundai motor america/co car,21800,21400,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,kmhec4a4xda091246,ca,43,22143,red,beige,hyundai motor america/co car,17150,17100,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1dm719644,ca,45,23420,gray,black,nissan infiniti lt,22800,22250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae6du523099,ca,2,33078,white,beige,enterprise vehicle exchange / tra / rental / tulsa,9675,7800,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6apxdm710375,ca,32,28875,gray,black,nissan infiniti lt,22200,21000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Accent,SE,Hatchback,automatic,kmhcu5ae2du138898,ca,49,6747,gray,black,hyundai motor america/co car,11300,11900,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae0dh344075,ca,44,38170,gray,beige,enterprise vehicle exchange/orange,11350,11600,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6apxdm712482,ca,44,23156,white,black,nissan infiniti lt,23100,23000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac8dh687043,ca,28,32387,silver,gray,skyhigh remarketing inc,12400,9750,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac5dh745416,ca,42,40593,white,beige,enterprise veh exchange/rental,11900,12000,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek9dm921386,ca,48,13661,gray,black,nissan infiniti lt,26100,26500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8dm301100,ca,45,21557,white,black,nissan infiniti lt,23100,25250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8dm712058,ca,38,20067,gray,black,nissan infiniti lt,23300,24000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ab6dh539798,ca,39,45991,gray,gray,hyundai motor america/co car,15750,17200,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ekxdm921560,ca,42,22354,gray,black,nissan infiniti lt,24900,25000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd2du221961,ca,46,20952,silver,black,hyundai motor america/co car,18650,22200,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
